               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087938,            0.028249,             0.01997,             0.73219,             0.14391,             0.13609,            0.061088,            0.066476,            0.022054,            0.017312,            0.070349,           0.0032946,           0.0032946
                   1,            0.057333,            0.022183,            0.012613,             0.75749,             0.35074,             0.25367,             0.12248,            0.049026,            0.018869,            0.016116,            0.040316,           0.0065951,           0.0065951
                   2,            0.049486,            0.016129,           0.0094035,             0.87985,              0.3427,             0.44101,             0.24528,            0.044723,             0.01358,           0.0081532,             0.01025,           0.0098626,           0.0098626
                   3,            0.044128,            0.014731,           0.0068234,             0.56009,             0.48176,             0.47759,              0.2663,            0.043923,            0.014768,           0.0075485,           0.0098515,           0.0098515,           0.0098515
                   4,            0.039697,            0.013516,           0.0059166,             0.52925,             0.47326,             0.47182,             0.27511,             0.04367,            0.012525,           0.0087303,           0.0098515,           0.0098515,           0.0098515
                   5,            0.037134,             0.01284,           0.0054858,             0.68456,             0.55031,             0.58003,             0.34293,            0.038037,            0.011717,           0.0059737,            0.009802,            0.009802,            0.009802
                   6,            0.035345,            0.012797,           0.0052336,             0.80037,             0.53903,              0.5899,             0.36784,            0.033738,            0.011309,           0.0058441,           0.0097525,           0.0097525,           0.0097525
                   7,            0.033995,            0.012767,           0.0049526,             0.75295,              0.5552,             0.59248,             0.39601,            0.032481,            0.011243,           0.0061507,            0.009703,            0.009703,            0.009703
                   8,            0.033362,             0.01186,           0.0041508,             0.73531,             0.58738,             0.63181,             0.41071,             0.03138,            0.010729,           0.0060925,           0.0096535,           0.0096535,           0.0096535
                   9,            0.032217,            0.012027,           0.0040113,             0.67959,             0.60131,              0.6139,             0.40636,             0.03063,            0.010554,           0.0072928,            0.009604,            0.009604,            0.009604
                  10,            0.032498,            0.011869,           0.0037311,             0.70365,             0.60088,             0.60355,             0.39387,            0.030862,            0.010335,           0.0069283,           0.0095545,           0.0095545,           0.0095545
                  11,             0.03095,            0.011964,           0.0037995,              0.8077,             0.57662,             0.63057,             0.41398,            0.030843,              0.0109,           0.0064494,            0.009505,            0.009505,            0.009505
                  12,            0.029839,             0.01132,           0.0034454,             0.75785,             0.57946,             0.62681,             0.42194,            0.029586,            0.010785,            0.006776,           0.0094555,           0.0094555,           0.0094555
                  13,            0.031368,            0.011421,           0.0034761,             0.69701,             0.58828,             0.60734,             0.41987,            0.029566,             0.01053,           0.0068319,            0.009406,            0.009406,            0.009406
                  14,            0.029812,            0.010599,           0.0034567,             0.79882,             0.55682,             0.61489,             0.40243,            0.030912,            0.010635,           0.0071142,           0.0093565,           0.0093565,           0.0093565
                  15,            0.029516,            0.011274,           0.0031171,             0.82204,             0.59327,             0.64356,             0.43906,            0.030371,            0.010673,           0.0050948,            0.009307,            0.009307,            0.009307
                  16,            0.029533,            0.010894,           0.0031811,             0.81678,             0.58091,             0.64602,             0.45281,            0.027674,           0.0099691,           0.0051929,           0.0092575,           0.0092575,           0.0092575
                  17,            0.028366,            0.010426,           0.0028638,             0.78791,             0.60021,             0.64766,             0.44156,            0.028283,            0.010607,           0.0059801,            0.009208,            0.009208,            0.009208
                  18,            0.029319,            0.010773,           0.0029206,             0.75933,              0.6004,             0.62861,             0.44458,            0.028422,            0.010211,           0.0058667,           0.0091585,           0.0091585,           0.0091585
                  19,             0.02872,             0.01044,           0.0026658,             0.78972,             0.62048,             0.66903,             0.47759,            0.027192,           0.0098781,           0.0050197,            0.009109,            0.009109,            0.009109
                  20,            0.027475,            0.010763,           0.0025502,             0.87109,             0.59104,             0.67707,             0.47374,            0.026875,           0.0096103,           0.0055628,           0.0090595,           0.0090595,           0.0090595
                  21,            0.027948,            0.010197,           0.0027443,             0.75857,             0.63962,             0.66918,             0.47187,            0.026885,            0.010028,           0.0036781,             0.00901,             0.00901,             0.00901
                  22,            0.028325,            0.010517,           0.0025389,             0.83458,             0.61403,             0.67121,              0.4772,            0.026956,           0.0096001,           0.0048244,           0.0089605,           0.0089605,           0.0089605
                  23,            0.027081,           0.0097638,           0.0027343,             0.73946,             0.64572,             0.66324,             0.46728,            0.027502,            0.009726,           0.0055994,            0.008911,            0.008911,            0.008911
                  24,            0.027871,            0.010039,           0.0024576,             0.80822,             0.61611,             0.65639,             0.45545,            0.027246,             0.01038,           0.0053672,           0.0088615,           0.0088615,           0.0088615
                  25,            0.027336,           0.0098214,           0.0025901,             0.90744,             0.58559,             0.67645,             0.47689,            0.026951,           0.0093522,           0.0069341,            0.008812,            0.008812,            0.008812
                  26,            0.027304,           0.0099877,           0.0022536,             0.79247,             0.60572,             0.64511,             0.45699,            0.028494,            0.010259,           0.0053519,           0.0087625,           0.0087625,           0.0087625
                  27,            0.026442,           0.0097193,           0.0023714,             0.83104,             0.62197,             0.67944,             0.48386,            0.027025,           0.0098191,           0.0046606,            0.008713,            0.008713,            0.008713
                  28,            0.027199,           0.0095774,           0.0021851,             0.77215,             0.61094,             0.66296,             0.46568,            0.027081,            0.010111,           0.0073314,           0.0086635,           0.0086635,           0.0086635
                  29,            0.026751,            0.009626,           0.0022864,             0.82498,             0.63233,             0.68104,             0.48509,            0.027141,           0.0094996,           0.0055304,            0.008614,            0.008614,            0.008614
                  30,            0.027612,            0.010075,           0.0023277,             0.76974,             0.60182,             0.64662,             0.46072,            0.027158,           0.0098843,           0.0048644,           0.0085645,           0.0085645,           0.0085645
                  31,             0.02738,           0.0097584,           0.0020334,              0.8669,             0.63135,             0.68535,             0.48447,            0.026897,           0.0094987,           0.0054058,            0.008515,            0.008515,            0.008515
                  32,            0.026239,           0.0096526,            0.002055,             0.83174,             0.62855,             0.67824,             0.48786,             0.02673,           0.0093906,           0.0064187,           0.0084655,           0.0084655,           0.0084655
                  33,            0.027017,           0.0094943,           0.0020789,             0.88705,             0.62185,             0.68535,             0.48325,            0.027218,           0.0095192,           0.0053814,            0.008416,            0.008416,            0.008416
                  34,            0.026392,           0.0095464,           0.0020907,             0.78656,             0.63725,             0.66794,             0.47666,            0.026381,           0.0095633,           0.0053029,           0.0083665,           0.0083665,           0.0083665
                  35,            0.025793,             0.00948,           0.0018124,             0.84096,             0.60059,             0.66498,             0.47457,            0.026759,           0.0097094,           0.0058447,            0.008317,            0.008317,            0.008317
                  36,            0.025912,           0.0094931,           0.0020492,             0.81107,              0.6208,             0.66193,             0.46806,            0.026894,            0.010149,           0.0059392,           0.0082675,           0.0082675,           0.0082675
                  37,            0.026471,           0.0095714,           0.0020832,             0.80153,              0.6232,             0.67327,             0.48298,            0.025747,           0.0093634,           0.0060704,            0.008218,            0.008218,            0.008218
                  38,            0.025424,           0.0093971,           0.0018144,             0.84464,             0.61702,             0.69268,             0.49474,            0.026309,           0.0092934,           0.0057476,           0.0081685,           0.0081685,           0.0081685
                  39,            0.025713,           0.0093395,           0.0015921,             0.84981,             0.62096,             0.67822,             0.48866,            0.026818,           0.0093213,           0.0060588,            0.008119,            0.008119,            0.008119
                  40,            0.025756,           0.0089888,           0.0016333,             0.79133,             0.62048,             0.67845,             0.48381,             0.02607,           0.0094746,           0.0061182,           0.0080695,           0.0080695,           0.0080695
                  41,            0.025453,           0.0093356,           0.0015603,             0.85785,             0.62079,              0.6876,             0.49865,            0.025486,           0.0088661,           0.0059406,             0.00802,             0.00802,             0.00802
                  42,            0.025191,           0.0087313,           0.0016696,             0.74339,             0.67351,             0.69385,             0.50715,            0.025744,           0.0089941,           0.0056114,           0.0079705,           0.0079705,           0.0079705
                  43,            0.025159,           0.0089834,           0.0017883,              0.8658,             0.62395,             0.68349,              0.4967,            0.025733,           0.0097373,            0.006186,            0.007921,            0.007921,            0.007921
                  44,            0.024762,           0.0089638,           0.0017184,             0.83894,             0.63335,             0.69034,             0.49579,            0.025612,           0.0092409,           0.0056132,           0.0078715,           0.0078715,           0.0078715
                  45,            0.025091,           0.0091547,           0.0016803,             0.81342,              0.6491,             0.69645,             0.50752,             0.02513,           0.0090425,           0.0053509,            0.007822,            0.007822,            0.007822
                  46,            0.025282,           0.0092568,           0.0014517,             0.83256,             0.63954,             0.69303,             0.49913,            0.025479,           0.0095398,           0.0047102,           0.0077725,           0.0077725,           0.0077725
                  47,            0.024802,           0.0084241,           0.0014882,              0.8932,             0.62508,             0.70074,             0.49955,             0.02547,           0.0090581,           0.0053918,            0.007723,            0.007723,            0.007723
                  48,            0.025096,           0.0087827,           0.0017178,             0.87597,             0.61835,             0.68805,             0.49972,            0.025692,           0.0090048,           0.0054543,           0.0076735,           0.0076735,           0.0076735
                  49,            0.025191,           0.0089743,           0.0016199,             0.84262,             0.63054,             0.68382,             0.49662,            0.026176,           0.0093615,           0.0052254,            0.007624,            0.007624,            0.007624
                  50,            0.024646,           0.0087891,           0.0015092,              0.8573,             0.64611,             0.70455,             0.51172,            0.025465,           0.0090306,           0.0050715,           0.0075745,           0.0075745,           0.0075745
                  51,            0.024185,           0.0087185,           0.0013765,             0.84671,             0.64276,             0.70623,             0.51634,            0.024915,           0.0092052,           0.0048224,            0.007525,            0.007525,            0.007525
                  52,            0.024798,           0.0087579,           0.0013893,             0.84344,             0.65072,             0.70047,             0.50136,            0.025358,           0.0090294,           0.0054461,           0.0074755,           0.0074755,           0.0074755
                  53,            0.024555,           0.0087751,           0.0014238,             0.81101,             0.66368,             0.71327,             0.51092,            0.025526,           0.0089217,           0.0053828,            0.007426,            0.007426,            0.007426
                  54,            0.024097,            0.008669,           0.0013572,             0.87046,              0.6343,             0.71501,             0.51519,            0.025124,           0.0087582,            0.004585,           0.0073765,           0.0073765,           0.0073765
                  55,            0.024463,           0.0090694,           0.0013366,             0.86907,             0.63579,             0.70588,             0.51346,            0.025742,           0.0090072,           0.0049814,            0.007327,            0.007327,            0.007327
                  56,            0.025036,            0.008752,           0.0012775,             0.77755,              0.6739,             0.71077,             0.52017,            0.024881,           0.0092233,           0.0051132,           0.0072775,           0.0072775,           0.0072775
                  57,            0.024524,           0.0087738,           0.0014059,             0.85416,             0.64925,             0.70439,             0.51103,            0.025164,           0.0089527,           0.0053443,            0.007228,            0.007228,            0.007228
                  58,            0.024693,           0.0090253,           0.0015239,             0.82365,             0.66375,             0.70141,             0.50988,            0.025431,           0.0088017,           0.0052483,           0.0071785,           0.0071785,           0.0071785
                  59,            0.024069,           0.0089252,           0.0015486,             0.89857,             0.64062,             0.70553,             0.51267,            0.025349,           0.0091047,           0.0050406,            0.007129,            0.007129,            0.007129
                  60,            0.023937,           0.0084713,           0.0014582,             0.89664,             0.62599,             0.66809,             0.49284,             0.02527,           0.0094197,           0.0055143,           0.0070795,           0.0070795,           0.0070795
                  61,            0.023735,           0.0084305,           0.0012221,             0.85828,             0.66103,              0.7056,             0.51511,            0.025104,           0.0089887,           0.0056353,             0.00703,             0.00703,             0.00703
                  62,            0.023958,           0.0085192,           0.0011982,             0.82469,             0.66878,             0.69552,             0.51382,            0.024735,           0.0090101,           0.0054133,           0.0069805,           0.0069805,           0.0069805
                  63,            0.023881,           0.0084431,           0.0012729,              0.8693,             0.66063,             0.71923,             0.51687,            0.024955,           0.0087676,           0.0052821,            0.006931,            0.006931,            0.006931
                  64,            0.024431,           0.0086705,           0.0014855,             0.86705,             0.63733,             0.69025,             0.50815,            0.024914,           0.0091476,           0.0056947,           0.0068815,           0.0068815,           0.0068815
                  65,            0.023841,           0.0083633,           0.0013976,             0.86043,              0.6606,             0.69952,             0.50714,             0.02516,           0.0094472,           0.0054327,            0.006832,            0.006832,            0.006832
                  66,            0.023898,           0.0086408,            0.001464,             0.88557,             0.64922,             0.70776,             0.51521,            0.025123,             0.00953,           0.0051574,           0.0067825,           0.0067825,           0.0067825
                  67,            0.023766,           0.0081762,           0.0013251,             0.83666,             0.64635,             0.68776,             0.50537,            0.025192,           0.0097382,           0.0072336,            0.006733,            0.006733,            0.006733
                  68,            0.023576,           0.0085535,            0.001217,             0.86548,              0.6433,             0.69865,             0.51551,            0.025172,           0.0093314,           0.0057549,           0.0066835,           0.0066835,           0.0066835
                  69,            0.023174,           0.0083785,           0.0011261,             0.89036,             0.65047,             0.70567,             0.51681,            0.024683,           0.0091242,           0.0051846,            0.006634,            0.006634,            0.006634
                  70,            0.023686,           0.0083096,           0.0011321,             0.82478,             0.65713,             0.69189,             0.51203,             0.02487,           0.0097404,           0.0058932,           0.0065845,           0.0065845,           0.0065845
                  71,            0.023394,           0.0082215,           0.0010742,             0.88547,             0.67083,             0.71798,             0.52593,             0.02461,           0.0090499,           0.0056731,            0.006535,            0.006535,            0.006535
                  72,            0.022917,           0.0078493,           0.0010414,             0.88763,             0.64276,             0.70007,             0.51022,            0.025464,           0.0092415,           0.0064855,           0.0064855,           0.0064855,           0.0064855
                  73,            0.022876,           0.0080715,           0.0010301,             0.90239,             0.63792,             0.69454,             0.50859,            0.024817,            0.009484,           0.0060177,            0.006436,            0.006436,            0.006436
                  74,            0.022686,           0.0083211,           0.0012589,             0.85699,             0.65579,             0.70589,             0.51693,            0.024715,           0.0096007,           0.0058373,           0.0063865,           0.0063865,           0.0063865
                  75,            0.023222,           0.0080008,           0.0010971,             0.84381,             0.65442,             0.69213,             0.50918,            0.024973,           0.0096183,            0.005721,            0.006337,            0.006337,            0.006337
                  76,            0.022629,           0.0082395,           0.0011068,             0.82362,             0.66416,             0.70459,             0.51763,            0.024571,           0.0088178,           0.0056244,           0.0062875,           0.0062875,           0.0062875
                  77,            0.023502,           0.0084035,           0.0010769,             0.85246,             0.66069,             0.70129,             0.51464,             0.02453,           0.0089804,           0.0061715,            0.006238,            0.006238,            0.006238
                  78,            0.022583,           0.0082747,          0.00086754,             0.85066,             0.66087,             0.70944,             0.51942,            0.024533,           0.0093233,           0.0060531,           0.0061885,           0.0061885,           0.0061885
                  79,             0.02182,           0.0078955,          0.00099713,             0.88407,             0.64517,             0.71081,              0.5216,            0.024489,           0.0097152,           0.0056377,            0.006139,            0.006139,            0.006139
                  80,            0.023338,           0.0080861,           0.0010096,             0.87301,             0.65877,             0.69625,             0.51309,            0.024384,           0.0093404,           0.0056254,           0.0060895,           0.0060895,           0.0060895
                  81,            0.022249,           0.0076386,            0.001109,              0.8357,             0.66535,             0.70293,             0.51672,            0.024381,           0.0094218,           0.0052714,             0.00604,             0.00604,             0.00604
                  82,            0.022429,           0.0082199,          0.00097892,             0.88793,              0.6618,               0.706,             0.51763,            0.024605,           0.0092621,           0.0055471,           0.0059905,           0.0059905,           0.0059905
                  83,             0.02235,           0.0079514,            0.001035,             0.82932,             0.67651,             0.70912,             0.52261,            0.024359,           0.0090394,           0.0060793,            0.005941,            0.005941,            0.005941
                  84,            0.021702,           0.0076818,          0.00096267,             0.88395,             0.64801,             0.71121,             0.52341,            0.024367,           0.0096231,           0.0063423,           0.0058915,           0.0058915,           0.0058915
                  85,            0.022352,           0.0079884,           0.0010326,             0.87564,             0.63151,             0.69153,             0.50995,            0.024562,             0.00916,           0.0066833,            0.005842,            0.005842,            0.005842
                  86,            0.022183,           0.0077736,           0.0008996,             0.83853,             0.65939,             0.68965,             0.51493,            0.024447,           0.0094125,           0.0056141,           0.0057925,           0.0057925,           0.0057925
                  87,            0.021391,           0.0081781,          0.00099484,             0.90718,             0.63621,             0.69794,             0.51808,            0.024137,           0.0099559,           0.0054152,            0.005743,            0.005743,            0.005743
                  88,               0.022,           0.0076373,          0.00086355,             0.85641,             0.66103,             0.69613,             0.52282,            0.024135,           0.0096656,             0.00542,           0.0056935,           0.0056935,           0.0056935
                  89,             0.02245,           0.0079604,          0.00094911,             0.88455,             0.65201,             0.69561,             0.52147,            0.023976,           0.0094113,           0.0051658,            0.005644,            0.005644,            0.005644
                  90,            0.021415,           0.0074353,           0.0010145,             0.84798,             0.68088,             0.71123,             0.52446,            0.024145,           0.0093127,           0.0053856,           0.0055945,           0.0055945,           0.0055945
                  91,            0.022317,           0.0076677,          0.00093916,             0.90938,             0.64398,             0.70734,             0.52703,            0.024289,           0.0094294,            0.005321,            0.005545,            0.005545,            0.005545
                  92,            0.021791,           0.0076719,           0.0011078,             0.85419,             0.66376,             0.70693,             0.52428,            0.024355,           0.0093806,           0.0049536,           0.0054955,           0.0054955,           0.0054955
                  93,            0.022044,           0.0077723,          0.00089678,             0.84958,             0.66719,             0.70229,             0.51992,            0.024545,           0.0094727,           0.0046812,            0.005446,            0.005446,            0.005446
                  94,            0.021039,           0.0073782,          0.00090185,             0.86014,             0.67315,             0.71275,             0.52752,            0.024267,           0.0094315,           0.0045728,           0.0053965,           0.0053965,           0.0053965
                  95,             0.02196,           0.0073511,          0.00089288,             0.89843,              0.6641,             0.71432,             0.53236,            0.024601,           0.0095208,           0.0051756,            0.005347,            0.005347,            0.005347
                  96,            0.021321,           0.0072732,          0.00081488,             0.88002,             0.66538,             0.71249,             0.52836,            0.024723,           0.0098307,           0.0052975,           0.0052975,           0.0052975,           0.0052975
                  97,            0.022362,           0.0077766,          0.00095083,             0.90342,             0.63981,             0.69171,             0.51292,            0.024454,           0.0096744,           0.0050055,            0.005248,            0.005248,            0.005248
                  98,            0.022075,           0.0075609,          0.00079015,             0.87592,             0.66882,             0.71533,                0.53,            0.024412,           0.0096203,           0.0054435,           0.0051985,           0.0051985,           0.0051985
